AL, 02, 2021061406, RI, RIOB,  24, 327N,  761W,   0,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOB,  24, 327N,  761W,   0,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOB,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOB,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, RIOB,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, RIOB,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, RIOC,  12, 327N,  761W,   2,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, RIOC,  24, 327N,  761W,   3,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOC,  24, 327N,  761W,   2,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOC,  24, 327N,  761W,   2,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOC,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOC,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, RIOC,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, RIOC,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, RIOD,  12, 327N,  761W,   2,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, RIOD,  24, 327N,  761W,   6,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOD,  24, 327N,  761W,   5,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOD,  24, 327N,  761W,   5,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOD,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOD,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, RIOD,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, RIOD,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061406, RI, RIOL,  12, 327N,  761W,   1,  20,  45,    ,            0,           12, 
AL, 02, 2021061406, RI, RIOL,  24, 327N,  761W,   2,  25,  50,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOL,  24, 327N,  761W,   1,  30,  55,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOL,  24, 327N,  761W,   0,  35,  60,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOL,  24, 327N,  761W,   0,  40,  65,    ,            0,           24, 
AL, 02, 2021061406, RI, RIOL,  36, 327N,  761W,   0,  45,  70,    ,            0,           36, 
AL, 02, 2021061406, RI, RIOL,  48, 327N,  761W,   0,  55,  80,    ,            0,           48, 
AL, 02, 2021061406, RI, RIOL,  72, 327N,  761W,   0,  65,  90,    ,            0,           72, 
AL, 02, 2021061412, GN, OFCL,   0,     ,      , 100,    0,    , genesis, 2021061412, al022021,  1, 005, 
AL, 02, 2021061412, IN, ICON,  12,     ,      ,  68,  40,   ,    4, 
AL, 02, 2021061412, IN, ICON,  24,     ,      ,  68,  48,   ,    8, 
AL, 02, 2021061412, IN, ICON,  36,     ,      ,  68,  44,   ,    9, 
AL, 02, 2021061412, IN, ICON,  48,     ,      ,  68,  36,   ,   10, 
AL, 02, 2021061412, IN, ICON,  60,     ,      ,  68,  30,   ,   10, 
AL, 02, 2021061412, IN, IVCN,  12,     ,      ,  68,  40,   ,    4, 
AL, 02, 2021061412, IN, IVCN,  24,     ,      ,  68,  48,   ,    8, 
AL, 02, 2021061412, IN, IVCN,  36,     ,      ,  68,  44,   ,    9, 
AL, 02, 2021061412, IN, IVCN,  48,     ,      ,  68,  36,   ,   10, 
AL, 02, 2021061412, IN, IVCN,  60,     ,      ,  68,  30,   ,   10, 
AL, 02, 2021061412, IN, IVCN,  72,     ,      ,  68,  34,   ,   11, 
AL, 02, 2021061412, IN, IVCN,  96,     ,      ,  68,  29,   ,   11, 
AL, 02, 2021061412, IN, IVCN, 120,     ,      ,  68,  27,   ,    9, 
AL, 02, 2021061412, RI, DTOP,  12, 345N,  745W,   1,  20,  50,    ,            0,           12, 
