AL, 08, 2021081506, RI, EIOD,  72, 356N,  630W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, EIOL,  12, 356N,  630W,   2,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, EIOL,  24, 356N,  630W,  12,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOL,  24, 356N,  630W,   7,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOL,  24, 356N,  630W,   4,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOL,  24, 356N,  630W,   2,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, EIOL,  36, 356N,  630W,  11,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, EIOL,  48, 356N,  630W,  10,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, EIOL,  72, 356N,  630W,  28,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, RIOB,  12, 356N,  630W,   0,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, RIOB,  24, 356N,  630W,   0,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOB,  24, 356N,  630W,   0,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOB,  24, 356N,  630W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOB,  24, 356N,  630W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOB,  36, 356N,  630W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081506, RI, RIOB,  48, 356N,  630W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081506, RI, RIOB,  72, 356N,  630W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081506, RI, RIOC,  12, 356N,  630W,   2,  20,  45,    ,            0,           12, 
AL, 08, 2021081506, RI, RIOC,  24, 356N,  630W,   7,  25,  50,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOC,  24, 356N,  630W,   5,  30,  55,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOC,  24, 356N,  630W,   1,  35,  60,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOC,  24, 356N,  630W,   1,  40,  65,    ,            0,           24, 
AL, 08, 2021081506, RI, RIOC,  36, 356N,  630W,   4,  45,  70,    ,            0,           36, 
