AL, 15, 2021091500, RI, EIOC,  12, 255N,  711W,   3,  20,  45,    ,            0,           12, 
AL, 15, 2021091500, RI, EIOC,  24, 255N,  711W,  12,  25,  50,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOC,  24, 255N,  711W,   7,  30,  55,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOC,  24, 255N,  711W,   4,  35,  60,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOC,  24, 255N,  711W,   1,  40,  65,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOC,  36, 255N,  711W,   4,  45,  70,    ,            0,           36, 
AL, 15, 2021091500, RI, EIOC,  48, 255N,  711W,   8,  55,  80,    ,            0,           48, 
AL, 15, 2021091500, RI, EIOC,  72, 255N,  711W,   5,  65,  90,    ,            0,           72, 
AL, 15, 2021091500, RI, EIOD,  12, 255N,  711W,   4,  20,  45,    ,            0,           12, 
AL, 15, 2021091500, RI, EIOD,  24, 255N,  711W,  13,  25,  50,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOD,  24, 255N,  711W,   8,  30,  55,    ,            0,           24, 
AL, 15, 2021091500, RI, EIOD,  24, 255N,  711W,   8,  35,  60,    ,            0,           24, 
