EP, 02, 2021053000, RI, RIOC,  24,  98N, 1005W,   9,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOC,  24,  98N, 1005W,   1,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOC,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOC,  36,  98N, 1005W,  10,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, RIOC,  48,  98N, 1005W,  16,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, RIOC,  72,  98N, 1005W,   4,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, RIOD,  12,  98N, 1005W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, RIOD,  24,  98N, 1005W,  24,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOD,  24,  98N, 1005W,  20,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOD,  24,  98N, 1005W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOD,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOD,  36,  98N, 1005W,  21,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, RIOD,  48,  98N, 1005W,  45,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, RIOD,  72,  98N, 1005W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, RIOL,  12,  98N, 1005W,   1,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, RIOL,  24,  98N, 1005W,  16,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOL,  24,  98N, 1005W,   6,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOL,  24,  98N, 1005W,   3,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOL,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, RIOL,  36,  98N, 1005W,   7,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, RIOL,  48,  98N, 1005W,   4,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, RIOL,  72,  98N, 1005W,  11,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, TR, GPCC,  12,  99N, 1029W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC,  24, 103N, 1049W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC,  36, 111N, 1066W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC,  48, 119N, 1079W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC,  60, 125N, 1090W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC,  72, 131N, 1098W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC,  96, 139N, 1106W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, GPCC, 120, 142N, 1113W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN,  12,  99N, 1029W,  68,   29,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053000, TR, TVCN,  24, 103N, 1049W,  68,   45,   ,   0,    ,    0,    0,    0,    0, 
