EP, 17, 2021102118, RI, RIOD,  24, 128N,  968W,   0,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOD,  24, 128N,  968W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOD,  36, 128N,  968W,  25,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, RIOD,  48, 128N,  968W,  52,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, RIOD,  72, 128N,  968W,   0,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, RI, RIOL,  12, 128N,  968W,   4,  20,  45,    ,            0,           12, 
EP, 17, 2021102118, RI, RIOL,  24, 128N,  968W,  39,  25,  50,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOL,  24, 128N,  968W,  23,  30,  55,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOL,  24, 128N,  968W,  16,  35,  60,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOL,  24, 128N,  968W,  12,  40,  65,    ,            0,           24, 
EP, 17, 2021102118, RI, RIOL,  36, 128N,  968W,  62,  45,  70,    ,            0,           36, 
EP, 17, 2021102118, RI, RIOL,  48, 128N,  968W,  90,  55,  80,    ,            0,           48, 
EP, 17, 2021102118, RI, RIOL,  72, 128N,  968W,  47,  65,  90,    ,            0,           72, 
EP, 17, 2021102118, TR, GPCC,  12, 130N,  988W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC,  24, 132N, 1002W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC,  36, 139N, 1010W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC,  48, 147N, 1017W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC,  60, 154N, 1022W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC,  72, 162N, 1026W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC,  96, 190N, 1032W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, GPCC, 120, 247N, 1042W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  12, 130N,  988W,  68,   30,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  24, 132N, 1002W,  68,   41,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  36, 139N, 1010W,  68,   49,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  48, 147N, 1017W,  68,   65,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  60, 154N, 1022W,  68,   80,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  72, 162N, 1026W,  68,   87,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN,  96, 190N, 1032W,  68,  141,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, TR, TVCN, 120, 247N, 1042W,  68,  141,   ,   0,    ,    0,    0,    0,    0, 
EP, 17, 2021102118, WR, RVCN,   0, 128N,  969W,  68,   0, 34,    0, 
EP, 17, 2021102118, WR, RVCN,  12, 130N,  988W,  68,  20, 34,   21, 
EP, 17, 2021102118, WR, RVCN,  24, 132N, 1002W,  68,  48, 34,   34, 
EP, 17, 2021102118, WR, RVCN,  36, 139N, 1010W,  68,  83, 34,   46, 
EP, 17, 2021102118, WR, RVCN,  48, 147N, 1017W,  68, 113, 34,   47, 
EP, 17, 2021102118, WR, RVCN,  60, 154N, 1022W,  68, 113, 34,   46, 
EP, 17, 2021102118, WR, RVCN,  72, 162N, 1026W,  68,  80, 34,   48, 
EP, 17, 2021102118, WR, RVCN,  84, 172N, 1029W,  68,  80, 34,   48, 
EP, 17, 2021102118, WR, RVCN,  96, 190N, 1032W,  68,  50, 34,   39, 
EP, 17, 2021102118, WR, RVCN, 108, 216N, 1047W,  68,  50, 34,   39, 
EP, 17, 2021102118, WR, RVCN, 120, 247N, 1042W,  68,   0, 34,    5, 
EP, 17, 2021102118, WR, RVCN, 132, 263N, 1038W,  68,   0, 34,    5, 
EP, 17, 2021102200, IN, ICON,  12,     ,      ,  68,  33,   ,    5, 
EP, 17, 2021102200, IN, ICON,  24,     ,      ,  68,  44,   ,   10, 
EP, 17, 2021102200, IN, ICON,  36,     ,      ,  68,  56,   ,   14, 
EP, 17, 2021102200, IN, ICON,  48,     ,      ,  68,  70,   ,   18, 
EP, 17, 2021102200, IN, ICON,  60,     ,      ,  68,  78,   ,   20, 
EP, 17, 2021102200, IN, ICON,  72,     ,      ,  68,  74,   ,   20, 
EP, 17, 2021102200, IN, ICON,  96,     ,      ,  68,  24,   ,   11, 
EP, 17, 2021102200, IN, IVCN,  12,     ,      ,  68,  33,   ,    5, 
EP, 17, 2021102200, IN, IVCN,  24,     ,      ,  68,  43,   ,   10, 
EP, 17, 2021102200, IN, IVCN,  36,     ,      ,  68,  54,   ,   14, 
EP, 17, 2021102200, IN, IVCN,  48,     ,      ,  68,  69,   ,   18, 
EP, 17, 2021102200, IN, IVCN,  60,     ,      ,  68,  81,   ,   21, 
EP, 17, 2021102200, IN, IVCN,  72,     ,      ,  68,  75,   ,   20, 
EP, 17, 2021102200, IN, IVCN,  96,     ,      ,  68,  23,   ,   10, 
EP, 17, 2021102200, IN, IVCN, 120,     ,      ,  68,  26,   ,    9, 
EP, 17, 2021102200, IN, IVRI,  12,     ,      ,  68,  34,   ,    5, 
EP, 17, 2021102200, IN, IVRI,  24,     ,      ,  68,  44,   ,   10, 
EP, 17, 2021102200, RI, DTOP,  12, 127N,  983W,   2,  20,  45,    ,            0,           12, 
EP, 17, 2021102200, RI, DTOP,  24, 127N,  983W,  43,  25,  50,    ,            0,           24, 
EP, 17, 2021102200, RI, DTOP,  24, 127N,  983W,  20,  30,  55,    ,            0,           24, 
EP, 17, 2021102200, RI, DTOP,  24, 127N,  983W,  14,  35,  60,    ,            0,           24, 
EP, 17, 2021102200, RI, DTOP,  24, 127N,  983W,  10,  40,  65,    ,            0,           24, 
EP, 17, 2021102200, RI, DTOP,  36, 127N,  983W,  29,  45,  70,    ,            0,           36, 
EP, 17, 2021102200, RI, DTOP,  48, 127N,  983W,  46,  55,  80,    ,            0,           48, 
EP, 17, 2021102200, RI, DTOP,  72, 127N,  983W,  28,  65,  90,    ,            0,           72, 
EP, 17, 2021102200, RI, DTPE,  12, 127N,  983W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102200, RI, DTPE,  24, 127N,  983W,  27,  25,  50,    ,            0,           24, 
EP, 17, 2021102200, RI, DTPE,  24, 127N,  983W,   9,  30,  55,    ,            0,           24, 
EP, 17, 2021102200, RI, DTPE,  24, 127N,  983W,   6,  35,  60,    ,            0,           24, 
EP, 17, 2021102200, RI, DTPE,  24, 127N,  983W,   4,  40,  65,    ,            0,           24, 
EP, 17, 2021102200, RI, DTPE,  36, 127N,  983W,  18,  45,  70,    ,            0,           36, 
