EP, 04, 2021061712, RI, EIOC,  12, 139N,  982W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, EIOC,  24, 139N,  982W,   4,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOC,  24, 139N,  982W,   2,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOC,  24, 139N,  982W,   1,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOC,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOC,  36, 139N,  982W,  10,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, EIOC,  48, 139N,  982W,  29,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, EIOC,  72, 139N,  982W,  12,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, RI, EIOD,  12, 139N,  982W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, EIOD,  24, 139N,  982W,   0,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOD,  24, 139N,  982W,   0,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOD,  24, 139N,  982W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOD,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOD,  36, 139N,  982W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, EIOD,  48, 139N,  982W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, EIOD,  72, 139N,  982W,   0,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, RI, EIOL,  12, 139N,  982W,   1,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, EIOL,  24, 139N,  982W,   9,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOL,  24, 139N,  982W,   5,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOL,  24, 139N,  982W,   2,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOL,  24, 139N,  982W,   1,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, EIOL,  36, 139N,  982W,  31,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, EIOL,  48, 139N,  982W,  87,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, EIOL,  72, 139N,  982W,  35,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, RI, RIOB,  12, 139N,  982W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, RIOB,  24, 139N,  982W,   2,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOB,  24, 139N,  982W,   2,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOB,  24, 139N,  982W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOB,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOB,  36, 139N,  982W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, RIOB,  48, 139N,  982W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, RIOB,  72, 139N,  982W,   1,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, RI, RIOC,  12, 139N,  982W,   1,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, RIOC,  24, 139N,  982W,   9,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOC,  24, 139N,  982W,   5,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOC,  24, 139N,  982W,   2,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOC,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOC,  36, 139N,  982W,  11,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, RIOC,  48, 139N,  982W,  21,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, RIOC,  72, 139N,  982W,   6,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, RI, RIOD,  12, 139N,  982W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, RIOD,  24, 139N,  982W,   0,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOD,  24, 139N,  982W,   0,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOD,  24, 139N,  982W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOD,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOD,  36, 139N,  982W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, RIOD,  48, 139N,  982W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, RIOD,  72, 139N,  982W,   0,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, RI, RIOL,  12, 139N,  982W,   2,  20,  40,    ,            0,           12, 
EP, 04, 2021061712, RI, RIOL,  24, 139N,  982W,  23,  25,  45,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOL,  24, 139N,  982W,  12,  30,  50,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOL,  24, 139N,  982W,   7,  35,  55,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOL,  24, 139N,  982W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061712, RI, RIOL,  36, 139N,  982W,  33,  45,  65,    ,            0,           36, 
EP, 04, 2021061712, RI, RIOL,  48, 139N,  982W,  64,  55,  75,    ,            0,           48, 
EP, 04, 2021061712, RI, RIOL,  72, 139N,  982W,  18,  65,  85,    ,            0,           72, 
EP, 04, 2021061712, WR, RVCN,   0, 139N,  983W,  68,   0, 34,    0, 
EP, 04, 2021061712, WR, RVCN,  12, 149N,  998W,  68,   0, 34,    5, 
EP, 04, 2021061712, WR, RVCN,  24, 157N, 1014W,  68,  30, 34,   23, 
EP, 04, 2021061712, WR, RVCN,  36, 166N, 1025W,  68,  50, 34,   30, 
EP, 04, 2021061712, WR, RVCN,  48, 183N, 1033W,  68,  43, 34,   33, 
EP, 04, 2021061712, WR, RVCN,  60, 210N, 1043W,  68,   0, 34,    5, 
EP, 04, 2021061712, WR, RVCN,  72, 228N, 1056W,  68,   0, 34,    5, 
EP, 04, 2021061712, WR, RVCN,  84, 247N, 1069W,  68,   0, 34,    5, 
EP, 04, 2021061718, IN, ICON,  12,     ,      ,  68,  32,   ,    5, 
EP, 04, 2021061718, IN, ICON,  24,     ,      ,  68,  41,   ,    9, 
EP, 04, 2021061718, IN, ICON,  36,     ,      ,  68,  50,   ,   13, 
EP, 04, 2021061718, IN, ICON,  48,     ,      ,  68,  40,   ,   12, 
EP, 04, 2021061718, IN, IVCN,  12,     ,      ,  68,  32,   ,    5, 
EP, 04, 2021061718, IN, IVCN,  24,     ,      ,  68,  41,   ,    9, 
EP, 04, 2021061718, IN, IVCN,  36,     ,      ,  68,  50,   ,   13, 
EP, 04, 2021061718, IN, IVCN,  48,     ,      ,  68,  40,   ,   12, 
EP, 04, 2021061718, IN, IVCN,  60,     ,      ,  68,  37,   ,   13, 
EP, 04, 2021061718, IN, IVCN,  72,     ,      ,  68,  35,   ,   14, 
EP, 04, 2021061718, IN, IVCN,  96,     ,      ,  68,  38,   ,   10, 
EP, 04, 2021061718, RI, DTOP,  12, 142N,  997W,   1,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, DTOP,  24, 142N,  997W,  17,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, DTOP,  24, 142N,  997W,   6,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, DTOP,  24, 142N,  997W,   4,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, DTOP,  24, 142N,  997W,   3,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, DTOP,  36, 142N,  997W,  10,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, DTOP,  48, 142N,  997W,   3,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, DTOP,  72, 142N,  997W,   0,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, DTPE,  12, 142N,  997W,   1,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, DTPE,  24, 142N,  997W,  12,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, DTPE,  24, 142N,  997W,   5,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, DTPE,  24, 142N,  997W,   3,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, DTPE,  24, 142N,  997W,   2,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, DTPE,  36, 142N,  997W,   5,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, DTPE,  48, 142N,  997W,   3,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, DTPE,  72, 142N,  997W,   0,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, EIOB,  12, 142N,  996W,   2,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, EIOB,  24, 142N,  996W,  20,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOB,  24, 142N,  996W,  18,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOB,  24, 142N,  996W,   6,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOB,  24, 142N,  996W,   0,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOB,  36, 142N,  996W,   7,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, EIOB,  48, 142N,  996W,   9,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, EIOB,  72, 142N,  996W,   5,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, EIOC,  12, 142N,  996W,   4,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, EIOC,  24, 142N,  996W,  36,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOC,  24, 142N,  996W,  26,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOC,  24, 142N,  996W,  12,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOC,  24, 142N,  996W,   5,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOC,  36, 142N,  996W,  34,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, EIOC,  48, 142N,  996W,  42,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, EIOC,  72, 142N,  996W,  12,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, EIOD,  12, 142N,  996W,   0,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, EIOD,  24, 142N,  996W,  34,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOD,  24, 142N,  996W,  22,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOD,  24, 142N,  996W,   0,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOD,  24, 142N,  996W,   0,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOD,  36, 142N,  996W,  22,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, EIOD,  48, 142N,  996W,  36,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, EIOD,  72, 142N,  996W,   0,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, EIOL,  12, 142N,  996W,  11,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, EIOL,  24, 142N,  996W,  53,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOL,  24, 142N,  996W,  38,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOL,  24, 142N,  996W,  29,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOL,  24, 142N,  996W,  15,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, EIOL,  36, 142N,  996W,  72,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, EIOL,  48, 142N,  996W,  80,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, EIOL,  72, 142N,  996W,  31,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, RIOB,  12, 142N,  996W,   4,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, RIOB,  24, 142N,  996W,  18,  25,  50,    ,            0,           24, 
EP, 04, 2021061718, RI, RIOB,  24, 142N,  996W,  18,  30,  55,    ,            0,           24, 
EP, 04, 2021061718, RI, RIOB,  24, 142N,  996W,   5,  35,  60,    ,            0,           24, 
EP, 04, 2021061718, RI, RIOB,  24, 142N,  996W,   0,  40,  65,    ,            0,           24, 
EP, 04, 2021061718, RI, RIOB,  36, 142N,  996W,   4,  45,  70,    ,            0,           36, 
EP, 04, 2021061718, RI, RIOB,  48, 142N,  996W,   2,  55,  80,    ,            0,           48, 
EP, 04, 2021061718, RI, RIOB,  72, 142N,  996W,   0,  65,  90,    ,            0,           72, 
EP, 04, 2021061718, RI, RIOC,  12, 142N,  996W,   7,  20,  45,    ,            0,           12, 
EP, 04, 2021061718, RI, RIOC,  24, 142N,  996W,  41,  25,  50,    ,            0,           24, 
