EP, 07, 2021071518, TR, TVCN,  12, 121N,  990W,  68,   31,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN,  24, 139N, 1026W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN,  36, 149N, 1060W,  68,   58,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN,  48, 158N, 1087W,  68,   70,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN,  60, 168N, 1109W,  68,   75,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN,  72, 177N, 1132W,  68,   76,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN,  96, 192N, 1183W,  68,  101,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, TR, TVCN, 120, 202N, 1234W,  68,  117,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071518, WR, RVCN,   0, 100N,  969W,  68,   0, 34,    0, 
EP, 07, 2021071518, WR, RVCN,  12, 121N,  990W,  68,   0, 34,    5, 
EP, 07, 2021071518, WR, RVCN,  24, 139N, 1026W,  68,  73, 34,   46, 
EP, 07, 2021071518, WR, RVCN,  36, 149N, 1060W,  68,  73, 34,   48, 
EP, 07, 2021071518, WR, RVCN,  48, 158N, 1087W,  68,  65, 34,   36, 
EP, 07, 2021071518, WR, RVCN,  60, 168N, 1109W,  68,  65, 34,   46, 
EP, 07, 2021071518, WR, RVCN,  72, 177N, 1132W,  68,  88, 34,   49, 
EP, 07, 2021071518, WR, RVCN,  84, 185N, 1157W,  68,  88, 34,   49, 
EP, 07, 2021071518, WR, RVCN,  96, 192N, 1183W,  68, 123, 34,   59, 
EP, 07, 2021071518, WR, RVCN, 108, 198N, 1208W,  68, 123, 34,   59, 
EP, 07, 2021071518, WR, RVCN, 120, 202N, 1234W,  68,  70, 34,   53, 
EP, 07, 2021071518, WR, RVCN, 132, 206N, 1259W,  68,  70, 34,   53, 
EP, 07, 2021071518, WR, RVCN, 144, 209N, 1267W,  68,   0, 34,    5, 
EP, 07, 2021071518, WR, RVCN, 156, 216N, 1292W,  68,   0, 34,    5, 
EP, 07, 2021071518, WR, RVCN, 168, 220N, 1321W,  68,   0, 34,    5, 
