EP, 01, 2021050712, 03,  NGX,  18, 113N, 1047W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  24, 119N, 1051W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  30, 124N, 1059W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  36, 132N, 1063W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  42, 138N, 1066W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  48, 142N, 1074W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  54, 144N, 1079W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  60, 147N, 1083W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  66, 145N, 1086W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  72, 143N, 1093W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  84, 133N, 1110W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03,  NGX,  96, 130N, 1126W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,   0, 110N, 1014W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,   6, 114N, 1024W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  12, 119N, 1037W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  18, 122N, 1050W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  24, 126N, 1063W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  30, 128N, 1073W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  36, 131N, 1078W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  42, 132N, 1082W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  48, 136N, 1085W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  54, 143N, 1087W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  60, 146N, 1091W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  66, 149N, 1095W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  72, 151N, 1095W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  78, 151N, 1097W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  84, 154N, 1102W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  90, 154N, 1107W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00,  96, 154N, 1111W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00, 102, 151N, 1117W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 01, 2021050712, 03, AC00, 108, 149N, 1124W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
