AL, 06, 2021080818, RI, EIOL,  24, 131N,  532W,  13,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOL,  24, 131N,  532W,   4,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOL,  24, 131N,  532W,   1,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, EIOL,  36, 131N,  532W,   6,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, EIOL,  48, 131N,  532W,   7,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, EIOL,  72, 131N,  532W,  16,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, RIOB,  12, 131N,  532W,   1,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, RIOB,  24, 131N,  532W,   1,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOB,  24, 131N,  532W,   7,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOB,  24, 131N,  532W,   0,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOB,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOB,  36, 131N,  532W,   4,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, RIOB,  48, 131N,  532W,   2,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, RIOB,  72, 131N,  532W,   1,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, RIOC,  12, 131N,  532W,   4,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, RIOC,  24, 131N,  532W,   8,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOC,  24, 131N,  532W,  10,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOC,  24, 131N,  532W,   4,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOC,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOC,  36, 131N,  532W,   2,  45,  70,    ,            0,           36, 
AL, 06, 2021080818, RI, RIOC,  48, 131N,  532W,   5,  55,  80,    ,            0,           48, 
AL, 06, 2021080818, RI, RIOC,  72, 131N,  532W,   1,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, RI, RIOD,  12, 131N,  532W,   5,  20,  45,    ,            0,           12, 
AL, 06, 2021080818, RI, RIOD,  24, 131N,  532W,  15,  25,  50,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOD,  24, 131N,  532W,   9,  30,  55,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOD,  24, 131N,  532W,   8,  35,  60,    ,            0,           24, 
AL, 06, 2021080818, RI, RIOD,  24, 131N,  532W,   0,  40,  65,    ,            0,           24, 
