AL, 07, 2021081112, RI, RIOB,  48, 122N,  322W,   0,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, RIOB,  72, 122N,  322W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, RIOC,  12, 122N,  322W,   2,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, RIOC,  24, 122N,  322W,   6,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOC,  24, 122N,  322W,   4,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOC,  24, 122N,  322W,   2,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOC,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOC,  36, 122N,  322W,   1,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, RIOC,  48, 122N,  322W,   3,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, RIOC,  72, 122N,  322W,   3,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, RIOD,  12, 122N,  322W,   3,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, RIOD,  24, 122N,  322W,  10,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOD,  24, 122N,  322W,   7,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOD,  24, 122N,  322W,   6,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOD,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOD,  36, 122N,  322W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, RIOD,  48, 122N,  322W,   8,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, RIOD,  72, 122N,  322W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081112, RI, RIOL,  12, 122N,  322W,   2,  20,  45,    ,            0,           12, 
AL, 07, 2021081112, RI, RIOL,  24, 122N,  322W,   5,  25,  50,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOL,  24, 122N,  322W,   3,  30,  55,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOL,  24, 122N,  322W,   1,  35,  60,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOL,  24, 122N,  322W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081112, RI, RIOL,  36, 122N,  322W,   2,  45,  70,    ,            0,           36, 
AL, 07, 2021081112, RI, RIOL,  48, 122N,  322W,   3,  55,  80,    ,            0,           48, 
AL, 07, 2021081112, RI, RIOL,  72, 122N,  322W,   8,  65,  90,    ,            0,           72, 
AL, 07, 2021081118, IN, IVCN,  12,     ,      ,  68,  27,   ,    4, 
AL, 07, 2021081118, IN, IVCN,  24,     ,      ,  68,  29,   ,    6, 
AL, 07, 2021081118, IN, IVCN,  36,     ,      ,  68,  32,   ,    7, 
AL, 07, 2021081118, IN, IVCN,  48,     ,      ,  68,  37,   ,   11, 
AL, 07, 2021081118, IN, IVCN,  60,     ,      ,  68,  42,   ,   13, 
AL, 07, 2021081118, IN, IVCN,  72,     ,      ,  68,  50,   ,   19, 
AL, 07, 2021081118, IN, IVCN,  96,     ,      ,  68,  64,   ,   20, 
AL, 07, 2021081118, IN, IVCN, 120,     ,      ,  68,  76,   ,   17, 
AL, 07, 2021081118, RI, DTPE,  12, 121N,  350W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081118, RI, DTPE,  24, 121N,  350W,   0,  25,  50,    ,            0,           24, 
AL, 07, 2021081118, RI, DTPE,  24, 121N,  350W,   0,  30,  55,    ,            0,           24, 
AL, 07, 2021081118, RI, DTPE,  24, 121N,  350W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081118, RI, DTPE,  24, 121N,  350W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081118, RI, DTPE,  36, 121N,  350W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081118, RI, DTPE,  48, 121N,  350W,   0,  55,  80,    ,            0,           48, 
AL, 07, 2021081118, RI, DTPE,  72, 121N,  350W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081118, RI, RIOB,  12, 121N,  350W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081118, RI, RIOB,  24, 121N,  350W,   2,  25,  50,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOB,  24, 121N,  350W,   0,  30,  55,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOB,  24, 121N,  350W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOB,  24, 121N,  350W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOB,  36, 121N,  350W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081118, RI, RIOB,  48, 121N,  350W,   0,  55,  80,    ,            0,           48, 
AL, 07, 2021081118, RI, RIOB,  72, 121N,  350W,   5,  65,  90,    ,            0,           72, 
AL, 07, 2021081118, RI, RIOC,  12, 121N,  350W,   2,  20,  45,    ,            0,           12, 
AL, 07, 2021081118, RI, RIOC,  24, 121N,  350W,   7,  25,  50,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOC,  24, 121N,  350W,   4,  30,  55,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOC,  24, 121N,  350W,   2,  35,  60,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOC,  24, 121N,  350W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOC,  36, 121N,  350W,   1,  45,  70,    ,            0,           36, 
AL, 07, 2021081118, RI, RIOC,  48, 121N,  350W,   5,  55,  80,    ,            0,           48, 
AL, 07, 2021081118, RI, RIOC,  72, 121N,  350W,  10,  65,  90,    ,            0,           72, 
AL, 07, 2021081118, RI, RIOD,  12, 121N,  350W,   3,  20,  45,    ,            0,           12, 
AL, 07, 2021081118, RI, RIOD,  24, 121N,  350W,   9,  25,  50,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOD,  24, 121N,  350W,   6,  30,  55,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOD,  24, 121N,  350W,   5,  35,  60,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOD,  24, 121N,  350W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOD,  36, 121N,  350W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081118, RI, RIOD,  48, 121N,  350W,   8,  55,  80,    ,            0,           48, 
AL, 07, 2021081118, RI, RIOD,  72, 121N,  350W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081118, RI, RIOL,  12, 121N,  350W,   3,  20,  45,    ,            0,           12, 
AL, 07, 2021081118, RI, RIOL,  24, 121N,  350W,   9,  25,  50,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOL,  24, 121N,  350W,   4,  30,  55,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOL,  24, 121N,  350W,   1,  35,  60,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOL,  24, 121N,  350W,   1,  40,  65,    ,            0,           24, 
AL, 07, 2021081118, RI, RIOL,  36, 121N,  350W,   4,  45,  70,    ,            0,           36, 
AL, 07, 2021081118, RI, RIOL,  48, 121N,  350W,   8,  55,  80,    ,            0,           48, 
AL, 07, 2021081118, RI, RIOL,  72, 121N,  350W,  25,  65,  90,    ,            0,           72, 
AL, 07, 2021081118, TR, GPCC,  12, 130N,  384W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, GPCC,  24, 138N,  418W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, GPCC,  36, 143N,  454W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, GPCC,  48, 144N,  495W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, GPCC,  60, 144N,  537W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, TVCN,  12, 130N,  384W,  68,   46,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, TVCN,  24, 138N,  418W,  68,   88,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, TVCN,  36, 143N,  454W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, TVCN,  48, 144N,  495W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
AL, 07, 2021081118, TR, TVCN,  60, 144N,  537W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
