AL, 14, 2021091112, TR, GPCC,  60, 257N,  970W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, GPCC,  72, 279N,  968W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, GPCC,  96, 307N,  954W,  68,  159,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, GPCC, 120, 331N,  945W,  68,  198,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  12, 183N,  931W,  68,   31,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  24, 196N,  943W,  68,   51,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  36, 214N,  956W,  68,   58,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  48, 236N,  966W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  60, 257N,  970W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  72, 279N,  968W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN,  96, 307N,  954W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCN, 120, 331N,  945W,  68,  174,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCX,   0, 179N,  921W,  70,    0,   ,  87,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, TR, TVCX,  12, 183N,  931W,  70,   41,   ,  59,    ,   40,   43,    2,    0, 
AL, 14, 2021091112, TR, TVCX,  24, 196N,  943W,  70,   66,   ,  39,    ,   64,   69,    5,   -1, 
AL, 14, 2021091112, TR, TVCX,  36, 215N,  954W,  70,   85,   ,  30,    ,   67,  111,    8,   -5, 
AL, 14, 2021091112, TR, TVCX,  48, 236N,  962W,  70,   95,   ,  14,    ,   84,  109,   13,  -10, 
AL, 14, 2021091112, TR, TVCX,  72, 278N,  960W,  70,  133,   , 353,    ,  126,  141,   20,  -19, 
AL, 14, 2021091112, TR, TVCX,  96, 302N,  946W,  70,  188,   , 320,    ,  141,  251,   18,  -32, 
AL, 14, 2021091112, TR, TVCX, 120, 330N,  932W,  70,  251,   , 353,    ,  243,  261,    0,  -65, 
AL, 14, 2021091112, TR, TVCX, 156,     ,      ,   0,  103,   ,   0,    ,    0,    0, 2051,    0, 
AL, 14, 2021091112, TR, TVCX, 168, 108N,    0W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 14, 2021091112, WR, RVCN,   0, 179N,  921W,  68,   0, 34,    0, 
AL, 14, 2021091112, WR, RVCN,  12, 183N,  931W,  68,   0, 34,    5, 
AL, 14, 2021091112, WR, RVCN,  24, 196N,  943W,  68,  20, 34,   27, 
AL, 14, 2021091112, WR, RVCN,  36, 214N,  956W,  68,  37, 34,   19, 
AL, 14, 2021091112, WR, RVCN,  48, 236N,  966W,  68,  70, 34,   45, 
AL, 14, 2021091112, WR, RVCN,  60, 257N,  970W,  68,  70, 34,   22, 
AL, 14, 2021091112, WR, RVCN,  72, 279N,  968W,  68,  43, 34,   39, 
AL, 14, 2021091112, WR, RVCN,  84, 298N,  965W,  68,  43, 34,   39, 
AL, 14, 2021091112, WR, RVCN,  96, 307N,  954W,  68,   0, 34,    5, 
AL, 14, 2021091112, WR, RVCN, 108, 316N,  948W,  68,   0, 34,    5, 
AL, 14, 2021091112, WR, RVCN, 120, 331N,  945W,  68,   0, 34,    5, 
AL, 14, 2021091112, WR, RVCN, 132, 345N,  942W,  68,   0, 34,    5, 
AL, 14, 2021091118, IN, ICON,  12,     ,      ,  68,  23,   ,    4, 
AL, 14, 2021091118, IN, ICON,  24,     ,      ,  68,  25,   ,    6, 
AL, 14, 2021091118, IN, ICON,  36,     ,      ,  68,  29,   ,    7, 
AL, 14, 2021091118, IN, ICON,  48,     ,      ,  68,  30,   ,   10, 
AL, 14, 2021091118, IN, ICON,  60,     ,      ,  68,  29,   ,   11, 
AL, 14, 2021091118, IN, IVCN,  12,     ,      ,  68,  24,   ,    4, 
AL, 14, 2021091118, IN, IVCN,  24,     ,      ,  68,  26,   ,    6, 
AL, 14, 2021091118, IN, IVCN,  36,     ,      ,  68,  31,   ,    7, 
AL, 14, 2021091118, IN, IVCN,  48,     ,      ,  68,  35,   ,   11, 
