EP, 13, 2021082212, WR, RVCN,  12, 193N, 1082W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN,  24, 196N, 1111W,  68,  23, 34,   20, 
EP, 13, 2021082212, WR, RVCN,  36, 196N, 1141W,  68,  23, 34,   22, 
EP, 13, 2021082212, WR, RVCN,  48, 191N, 1166W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN,  60, 188N, 1184W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN,  72, 188N, 1199W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN,  84, 190N, 1214W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN,  96, 189N, 1232W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN, 108, 183N, 1251W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN, 120, 172N, 1266W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN, 132, 160N, 1279W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN, 144, 150N, 1287W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN, 156, 144N, 1287W,  68,   0, 34,    5, 
EP, 13, 2021082212, WR, RVCN, 168, 142N, 1276W,  68,   0, 34,    5, 
EP, 13, 2021082218, IN, ICON,  12,     ,      ,  68,  34,   ,    5, 
EP, 13, 2021082218, IN, ICON,  24,     ,      ,  68,  36,   ,    8, 
EP, 13, 2021082218, IN, ICON,  36,     ,      ,  68,  33,   ,   10, 
EP, 13, 2021082218, IN, ICON,  48,     ,      ,  68,  29,   ,   10, 
EP, 13, 2021082218, IN, ICON,  60,     ,      ,  68,  27,   ,   11, 
EP, 13, 2021082218, IN, ICON,  72,     ,      ,  68,  25,   ,   12, 
EP, 13, 2021082218, IN, ICON,  96,     ,      ,  68,  21,   ,    8, 
EP, 13, 2021082218, IN, IVCN,  12,     ,      ,  68,  33,   ,    5, 
EP, 13, 2021082218, IN, IVCN,  24,     ,      ,  68,  34,   ,    8, 
EP, 13, 2021082218, IN, IVCN,  36,     ,      ,  68,  31,   ,    9, 
EP, 13, 2021082218, IN, IVCN,  48,     ,      ,  68,  27,   ,   10, 
EP, 13, 2021082218, IN, IVCN,  60,     ,      ,  68,  26,   ,   10, 
