AL, 03, 2021061300, RI, EIOL,  24, 200N,  945W,   3,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOL,  24, 200N,  945W,   1,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, EIOL,  36, 200N,  945W,   4,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, EIOL,  48, 200N,  945W,   4,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, EIOL,  72, 200N,  945W,   8,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, RIOB,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, RIOB,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOB,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOB,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOB,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOB,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, RIOB,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, RIOB,  72, 200N,  945W,   3,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, RIOC,  12, 200N,  945W,   1,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, RIOC,  24, 200N,  945W,   4,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOC,  24, 200N,  945W,   3,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOC,  24, 200N,  945W,   1,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOC,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOC,  36, 200N,  945W,   1,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, RIOC,  48, 200N,  945W,   1,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, RIOC,  72, 200N,  945W,   3,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, RIOD,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, RIOD,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOD,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOD,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOD,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOD,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, RIOD,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, RIOD,  72, 200N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, RIOL,  12, 200N,  945W,   3,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, RIOL,  24, 200N,  945W,  12,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOL,  24, 200N,  945W,   8,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOL,  24, 200N,  945W,   3,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOL,  24, 200N,  945W,   1,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, RIOL,  36, 200N,  945W,   3,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, RIOL,  48, 200N,  945W,   3,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, RIOL,  72, 200N,  945W,   5,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, TR, GPCC,  12, 202N,  951W,  68,   25,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC,  24, 200N,  950W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC,  36, 195N,  949W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC,  48, 193N,  947W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC,  60, 190N,  946W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC,  72, 188N,  944W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC,  96, 191N,  938W,  68,  159,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, GPCC, 120, 187N,  931W,  68,  198,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN,  12, 202N,  951W,  68,   31,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2021061300, TR, TVCN,  24, 200N,  950W,  68,   61,   ,   0,    ,    0,    0,    0,    0, 
