EP, 06, 2021071300, RI, RIOC,  72, 106N, 1049W,   5,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, RI, RIOD,  12, 106N, 1049W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, RIOD,  24, 106N, 1049W,  13,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOD,  24, 106N, 1049W,  11,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOD,  24, 106N, 1049W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOD,  24, 106N, 1049W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOD,  36, 106N, 1049W,  13,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, RIOD,  48, 106N, 1049W,  13,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, RIOD,  72, 106N, 1049W,   0,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, RI, RIOL,  12, 106N, 1049W,   1,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, RIOL,  24, 106N, 1049W,   8,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOL,  24, 106N, 1049W,   3,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOL,  24, 106N, 1049W,   1,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOL,  24, 106N, 1049W,   1,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, RIOL,  36, 106N, 1049W,   4,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, RIOL,  48, 106N, 1049W,  11,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, RIOL,  72, 106N, 1049W,  16,  65,  90,    ,            0,           72, 
EP, 06, 2021071300, TR, GPCC,  12, 114N, 1084W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC,  24, 121N, 1110W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC,  36, 128N, 1135W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC,  48, 137N, 1160W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC,  60, 143N, 1180W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC,  72, 148N, 1196W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC,  96, 152N, 1224W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, GPCC, 120, 158N, 1255W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  12, 114N, 1084W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  24, 121N, 1110W,  68,   42,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  36, 128N, 1135W,  68,   53,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  48, 137N, 1160W,  68,   62,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  60, 143N, 1180W,  68,   70,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  72, 148N, 1196W,  68,   70,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN,  96, 152N, 1224W,  68,   87,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, TR, TVCN, 120, 158N, 1255W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
EP, 06, 2021071300, WR, RVCN,   0, 106N, 1049W,  68,   0, 34,    0, 
EP, 06, 2021071300, WR, RVCN,  12, 114N, 1084W,  68,   0, 34,    5, 
EP, 06, 2021071300, WR, RVCN,  24, 121N, 1110W,  68,   0, 34,    5, 
EP, 06, 2021071300, WR, RVCN,  36, 128N, 1135W,  68,   0, 34,    5, 
EP, 06, 2021071300, WR, RVCN,  48, 137N, 1160W,  68,  20, 34,   28, 
EP, 06, 2021071300, WR, RVCN,  60, 143N, 1180W,  68,  20, 34,   23, 
EP, 06, 2021071300, WR, RVCN,  72, 148N, 1196W,  68,  20, 34,   26, 
EP, 06, 2021071300, WR, RVCN,  84, 150N, 1210W,  68,  20, 34,   26, 
EP, 06, 2021071300, WR, RVCN,  96, 152N, 1224W,  68,  38, 34,   18, 
EP, 06, 2021071300, WR, RVCN, 108, 154N, 1239W,  68,  38, 34,   18, 
EP, 06, 2021071300, WR, RVCN, 120, 158N, 1255W,  68,  35, 34,   17, 
EP, 06, 2021071300, WR, RVCN, 132, 160N, 1272W,  68,  35, 34,   17, 
EP, 06, 2021071300, WR, RVCN, 144, 178N, 1279W,  68,  20, 34,   33, 
EP, 06, 2021071300, WR, RVCN, 156, 179N, 1304W,  68,   0, 34,    5, 
EP, 06, 2021071300, WR, RVCN, 168, 177N, 1331W,  68,   0, 34,    5, 
EP, 06, 2021071306, IN, IVCN,  12,     ,      ,  68,  29,   ,    5, 
EP, 06, 2021071306, IN, IVCN,  24,     ,      ,  68,  35,   ,    9, 
EP, 06, 2021071306, IN, IVCN,  36,     ,      ,  68,  40,   ,   11, 
EP, 06, 2021071306, IN, IVCN,  48,     ,      ,  68,  46,   ,   14, 
EP, 06, 2021071306, IN, IVCN,  60,     ,      ,  68,  49,   ,   15, 
EP, 06, 2021071306, IN, IVCN,  72,     ,      ,  68,  49,   ,   16, 
EP, 06, 2021071306, IN, IVCN,  96,     ,      ,  68,  41,   ,   14, 
EP, 06, 2021071306, IN, IVCN, 120,     ,      ,  68,  32,   ,   11, 
EP, 06, 2021071306, RI, EIOB,  12, 114N, 1064W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071306, RI, EIOB,  24, 114N, 1064W,  19,  25,  50,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOB,  24, 114N, 1064W,   2,  30,  55,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOB,  24, 114N, 1064W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071306, RI, EIOB,  24, 114N, 1064W,   1,  40,  65,    ,            0,           24, 
